height,time,diff
594199,1568135594,10771996663680.4
594200,1568136503,10771996663680.4
594201,1568136629,10771996663680.4
594202,1568137025,10771996663680.4
594203,1568137051,10771996663680.4
594204,1568137076,10771996663680.4
594205,1568137888,10771996663680.4
594206,1568138154,10771996663680.4
594207,1568138803,10771996663680.4
594208,1568139367,10771996663680.4
594209,1568139440,10771996663680.4
594210,1568139638,10771996663680.4
594211,1568139712,10771996663680.4
594212,1568139943,10771996663680.4
594213,1568140024,10771996663680.4
594214,1568140155,10771996663680.4
594215,1568140359,10771996663680.4
594216,1568140850,10771996663680.4
594217,1568141129,10771996663680.4
594218,1568141296,10771996663680.4
594219,1568142064,10771996663680.4
594220,1568142405,10771996663680.4
594221,1568142480,10771996663680.4
594222,1568143097,10771996663680.4
594223,1568143292,10771996663680.4
594224,1568143687,10771996663680.4
594225,1568143726,10771996663680.4
594226,1568143748,10771996663680.4
594227,1568144116,10771996663680.4
594228,1568144227,10771996663680.4
594229,1568146317,10771996663680.4
594230,1568146433,10771996663680.4
594231,1568146628,10771996663680.4
594232,1568146781,10771996663680.4
594233,1568146848,10771996663680.4
594234,1568147125,10771996663680.4
594235,1568147847,10771996663680.4
594236,1568148141,10771996663680.4
594237,1568148291,10771996663680.4
594238,1568148812,10771996663680.4
594239,1568149146,10771996663680.4
594240,1568149210,10771996663680.4
594241,1568150490,10771996663680.4
594242,1568151619,10771996663680.4
594243,1568151710,10771996663680.4
594244,1568152203,10771996663680.4
594245,1568153284,10771996663680.4
594246,1568155493,10771996663680.4
594247,1568156488,10771996663680.4
594248,1568156996,10771996663680.4
594249,1568157520,10771996663680.4
594250,1568158161,10771996663680.4
594251,1568158420,10771996663680.4
594252,1568159590,10771996663680.4
594253,1568160641,10771996663680.4
594254,1568161064,10771996663680.4
594255,1568161480,10771996663680.4
594256,1568162159,10771996663680.4
594257,1568162251,10771996663680.4
594258,1568162658,10771996663680.4
594259,1568163132,10771996663680.4
594260,1568163603,10771996663680.4
594261,1568163962,10771996663680.4
594262,1568165148,10771996663680.4
594263,1568165742,10771996663680.4
594264,1568166104,10771996663680.4
594265,1568166561,10771996663680.4
594266,1568167388,10771996663680.4
594267,1568168125,10771996663680.4
594268,1568168176,10771996663680.4
